Bigram,Frequency
"('na', 'stop')",3
"('stop', 'killing')",3
"('killing', 'innocent')",3
"('kill', 'one')",3
"('love', 'first')",3
"('life', 'death')",3
"('hope', 'someday')",3
"('hatred', 'anger')",3
"('appreciate', 'yall')",3
"('row', 'keep')",3
"('heads', 'keep')",3
"('sorry', 'happened')",3
"('yall', 'pray')",3
"('come', 'together')",3
"('dont', 'ever')",3
"('please', 'know')",3
"('though', 'im')",3
"('love', 'give')",3
"('friendship', 'thank')",3
"('laura', 'love')",3
"('love', 'good')",3
"('keep', 'fighting')",3
"('much', 'pain')",3
"('today', 'hope')",3
"('take', 'good')",3
"('tell', 'daughter')",3
"('ask', 'yall')",3
"('know', 'forgiven')",3
"('glory', 'god')",3
"('home', 'love')",3
"('family', 'family')",3
"('kill', 'anyone')",3
"('yes', 'know')",3
"('got', 'letter')",3
"('love', 'susan')",3
"('girl', 'love')",3
"('thing', 'say')",3
"('understand', 'please')",3
"('youve', 'done')",3
"('really', 'believe')",3
"('tell', 'everybody')",3
"('everybody', 'keep')",3
"('people', 'god')",3
"('rest', 'peace')",3
"('final', 'statement')",3
"('away', 'death')",3
"('going', 'sleep')",3
"('may', 'forgive')",3
"('love', 'ok')",3
"('life', 'life')",3
"('baby', 'hope')",3
"('hope', 'dont')",3
"('right', 'see')",3
"('hope', 'helps')",3
"('family', 'thanks')",3
"('warden', 'lets')",3
"('cant', 'hear')",3
"('like', 'use')",3
"('need', 'take')",3
"('showed', 'love')",3
"('care', 'going')",3
"('going', 'ok')",3
"('go', 'back')",3
"('change', 'past')",3
"('way', 'god')",3
"('would', 'pay')",3
"('one', 'hope')",3
"('find', 'forgiveness')",3
"('forgiveness', 'god')",3
"('heart', 'say')",3
"('go', 'god')",3
"('god', 'please')",3
"('home', 'ready')",3
"('got', 'peace')",3
"('change', 'anything')",3
"('peace', 'sorry')",3
"('cant', 'see')",3
"('done', 'anything')",3
"('allah', 'return')",3
"('thank', 'done')",3
"('allah', 'belong')",3
"('belong', 'unto')",3
"('know', 'allah')",3
"('miss', 'yall')",3
"('heart', 'sorry')",3
"('love', 'strong')",3
"('love', 'sister')",3
"('wish', 'best')",3
"('sorry', 'go')",3
"('want', 'maketh')",3
"('maketh', 'lie')",3
"('pastures', 'leadeth')",3
